country,name,full_name
argentina,Argentina 1Y,Argentina 1-Year
argentina,Argentina 3Y,Argentina 3-Year
argentina,Argentina 5Y,Argentina 5 Year
argentina,Argentina 9Y,Argentina 9-Year
australia,Australia 30Y,Australia 30-Year
australia,Australia 20Y,Australia 20-Year
australia,Australia 15Y,Australia 15-Year
australia,Australia 12Y,Australia 12-Year
australia,Australia 10Y,Australia 10-Year
australia,Australia 8Y,Australia 8-Year
australia,Australia 9Y,Australia 9-Year
australia,Australia 6Y,Australia 6-Year
australia,Australia 5Y,Australia 5-Year
australia,Australia 4Y,Australia 4-Year
australia,Australia 3Y,Australia 3-Year
australia,Australia 2Y,Australia 2-Year
australia,Australia 1Y,Australia 1-Year
australia,Australia 7Y,Australia 7-Year
austria,Austria 10Y,Austria 10-Year
austria,Austria 50Y,Austria 50-Year
austria,Austria 30Y,Austria 30-Year
austria,Austria 25Y,Austria 25-Year
austria,Austria 20Y,Austria 20-Year
austria,Austria 15Y,Austria 15-Year
austria,Austria 9Y,Austria 9-Year
austria,Austria 3Y,Austria 3-Year
austria,Austria 7Y,Austria 7-Year
austria,Austria 6Y,Austria 6-Year
austria,Austria 5Y,Austria 5-Year
austria,Austria 4Y,Austria 4-Year
austria,Austria 2Y,Austria 2-Year
austria,Austria 1Y,Austria 1-Year
austria,Austria 8Y,Austria 8-Year
bahrain,Bahrain 3M,Bahrain 3-Month
bahrain,Bahrain 6M,Bahrain 6-Month
bahrain,Bahrain 9M,Bahrain 9-Month
bahrain,Bahrain 1Y,Bahrain 1-Year
bahrain,Bahrain 2Y,Bahrain 2-Year
bahrain,Bahrain 5Y,Bahrain 5-Year
bangladesh,Bangladesh 15Y,Bangladesh 15-Year
bangladesh,Bangladesh 20Y,Bangladesh 20-Year
bangladesh,Bangladesh 5Y,Bangladesh 5-Year
bangladesh,Bangladesh 10Y,Bangladesh 10-Year
bangladesh,Bangladesh 1Y,Bangladesh 1-Year
bangladesh,Bangladesh 3M,Bangladesh 3-Month
bangladesh,Bangladesh 2Y,Bangladesh 2-Year
bangladesh,Bangladesh 6M,Bangladesh 6-Month
belgium,Belgium 5Y,Belgium 5-Year
belgium,Belgium 20Y,Belgium 20-Year
belgium,Belgium 15Y,Belgium 15-Year
belgium,Belgium 10Y,Belgium 10-Year
belgium,Belgium 9Y,Belgium 9-Year
belgium,Belgium 8Y,Belgium 8-Year
belgium,Belgium 7Y,Belgium 7-Year
belgium,Belgium 6Y,Belgium 6-Year
belgium,Belgium 3Y,Belgium 3-Year
belgium,Belgium 2Y,Belgium 2-Year
belgium,Belgium 1Y,Belgium 1-Year
belgium,Belgium 9M,Belgium 9-Month
belgium,Belgium 6M,Belgium 6-Month
belgium,Belgium 3M,Belgium 3-Month
belgium,Belgium 1M,Belgium 1-Month
belgium,Belgium 4Y,Belgium 4-Year
botswana,Botswana 7Y,Botswana 7-Year
botswana,Botswana 13Y,Botswana 13-Years
botswana,Botswana 5Y,Botswana 5-Year
botswana,Botswana 6M,Botswana 6-Month
botswana,Botswana 3Y,Botswana 3-Year
brazil,Brazil 3M,Brazil 3-Month
brazil,Brazil 6M,Brazil 6-Month
brazil,Brazil 9M,Brazil 9-Month
brazil,Brazil 1Y,Brazil 1-Year
brazil,Brazil 2Y,Brazil 2-Year
brazil,Brazil 3Y,Brazil 3-Year
brazil,Brazil 5Y,Brazil 5-Year
