Date,Hang Seng CEI,HSCEI_return,Euro Stoxx 50,STOXX50E_return,Crude Oil WTI,WTICL_return
2011-10-12,9455.84,0.021442445,2372.15,0.024257654,85.57,-0.002796877
2011-10-13,9802.58,0.036669402,2332.52,-0.016706363,84.23,-0.015659694
2011-10-14,9584.83,-0.02221354,2355.48,0.009843431,86.8,0.030511694
2011-10-17,9853.34,0.02801406,2315.89,-0.016807615,86.38,-0.00483871
2011-10-18,9340.43,-0.05205443,2306.81,-0.003920739,88.34,0.022690438
2011-10-19,9449.14,0.01163865,2330.08,0.010087523,86.11,-0.025243378
2011-10-20,9196.68,-0.026717775,2271.77,-0.025024892,85.3,-0.009406573
2011-10-21,9219.73,0.002506339,2337.51,0.028937789,87.4,0.024618992
2011-10-24,9717.65,0.05400592,2369.07,0.013501547,91.27,0.044279176
2011-10-25,9860.98,0.014749451,2343.96,-0.010599096,93.17,0.020817355
2011-10-26,10050.59,0.019228312,2335.06,-0.003796993,90.2,-0.031877214
2011-10-27,10565.76,0.051257687,2476.92,0.060752186,93.96,0.041685144
2011-10-28,10625.16,0.005621933,2462.36,-0.005878268,93.32,-0.006811409
2011-10-31,10512.99,-0.010557017,2385.22,-0.031327669,93.19,-0.001393056
2011-11-01,10184.48,-0.031248008,2259.73,-0.052611499,92.19,-0.010730765
2011-11-02,10445.85,0.025663559,2291.89,0.014231789,92.51,0.003471092
2011-11-03,10294.92,-0.0144488,2347.94,0.024455798,94.07,0.016863042
2011-11-04,10705.48,0.039879863,2291.47,-0.02405087,94.26,0.002019773
2011-11-07,10646.75,-0.005485975,2275.92,-0.006786037,95.52,0.013367282
2011-11-08,10686.02,0.00368845,2303.2,0.011986362,96.8,0.013400335
2011-11-09,10917.7,0.021680663,2249.39,-0.023363147,95.74,-0.010950413
2011-11-10,10300.18,-0.056561364,2254.92,0.002458444,97.78,0.021307708
2011-11-11,10430.07,0.012610459,2324.81,0.030994448,98.99,0.012374719
2011-11-14,10716.9,0.027500295,2288.32,-0.015695906,98.14,-0.008586726
2011-11-15,10637.86,-0.007375267,2254,-0.014997902,99.37,0.012533116
2011-11-16,10332.09,-0.028743563,2267.96,0.006193434,102.59,0.032404146
2011-11-17,10228.65,-0.010011527,2242.78,-0.011102489,98.82,-0.036748221
2011-11-18,9957.4,-0.026518651,2236.68,-0.002719839,97.41,-0.014268367
2011-11-21,9725.82,-0.023257075,2160.28,-0.03415777,96.92,-0.005030284
2011-11-22,9745.35,0.002008057,2136.81,-0.010864332,98.01,0.011246389
2011-11-23,9476.15,-0.027623431,2096.79,-0.018728853,96.17,-0.018773595
2011-11-25,9395.91,-0.017810457,2111.26,0.010051429,96.77,0.006238952
2011-11-28,9609.86,0.022770546,2221.76,0.052338414,98.21,0.014880645
2011-11-29,9714.09,0.010846152,2234.17,0.005585662,99.79,0.016087975
2011-11-30,9508.94,-0.021118808,2330.43,0.043085352,100.36,0.005711995
2011-12-01,10281.99,0.081297179,2313.84,-0.007118858,100.2,-0.001594261
2011-12-02,10350.51,0.00666408,2342.5,0.012386336,100.96,0.00758483
2011-12-05,10412.96,0.006033519,2369.39,0.011479189,100.99,0.000297147
2011-12-06,10258.54,-0.014829597,2356.71,-0.005351588,101.28,0.002871571
2011-12-07,10485.05,0.02208014,2344.92,-0.005002737,100.49,-0.007800158
2011-12-08,10395.37,-0.00855313,2288.05,-0.024252427,98.34,-0.021395164
2011-12-09,10066.63,-0.031623694,2342.59,0.023836892,99.41,0.010880618
2011-12-12,10059.35,-0.000723181,2269.46,-0.031217584,97.77,-0.016497334
2011-12-13,9957.15,-0.010159702,2260.98,-0.003736572,100.14,0.024240565
2011-12-14,9888.15,-0.006929694,2205.91,-0.024356695,94.95,-0.051827442
2011-12-15,9678.86,-0.021165739,2224.89,0.008604159,93.87,-0.011374408
2011-12-16,9867.41,0.0194806,2202.72,-0.009964538,93.53,-0.00362203
2011-12-19,9727.08,-0.014221564,2202.95,0.000104416,93.88,0.003742115
2011-12-20,9740.01,0.001329279,2262.39,0.026982001,97.22,0.035577333
2011-12-21,9950.71,0.021632421,2244.35,-0.007973868,98.67,0.014914627
2011-12-22,9944.62,-0.000612017,2273.02,0.0127743,99.53,0.008715922
2011-12-23,10132.66,0.018908716,2290.37,0.007633017,99.68,0.001507083
2011-12-28,9980.51,-0.0150158,2255.03,-0.015404028,99.36,-0.019538188
2011-12-29,9944.58,-0.003600016,2292.28,0.016518627,99.65,0.00291868
2011-12-30,9936.48,-0.000814514,2316.55,0.010587712,98.83,-0.008228801
2012-01-03,10235.17,0.030059941,2389.91,0.008315754,102.96,0.04178893
2012-01-04,10094.41,-0.013752581,2349.89,-0.0167454,103.22,0.002525253
2012-01-05,10140.92,0.004607501,2315.75,-0.01452834,101.81,-0.013660143
2012-01-06,9987.33,-0.015145569,2298.65,-0.007384217,101.56,-0.002455554
2012-01-09,10225.81,0.023878254,2286.45,-0.005307463,101.31,-0.002461599
2012-01-10,10413.61,0.018365293,2347.47,0.02668766,102.24,0.009179745
2012-01-11,10517.07,0.009935075,2339.51,-0.003390885,100.87,-0.013399844
2012-01-12,10519.21,0.000203479,2345.85,0.002709969,99.1,-0.017547338
2012-01-13,10637.03,0.011200461,2338.01,-0.003342072,98.7,-0.004036327
2012-01-17,10962.42,0.045076118,2396.63,0.014850353,100.71,0.020364742
2012-01-18,10952.6,-0.000895788,2390.64,-0.002499343,100.59,-0.00119154
2012-01-19,11138.49,0.016972226,2435.04,0.018572432,100.39,-0.001988269
2012-01-20,11146.99,0.00076312,2426.96,-0.003318221,98.46,-0.019225022
2012-01-26,11416.88,0.024211917,2460.4,0.016223896,99.7,0.003018109
2012-01-27,11446.52,0.002596156,2436.62,-0.009665095,99.56,-0.001404213
2012-01-30,11145.6,-0.026289213,2404.62,-0.013132946,98.78,-0.007834472
2012-01-31,11299.05,0.013767765,2416.66,0.005007028,98.48,-0.003037052
2012-02-01,11253.8,-0.004004761,2470.79,0.022398682,97.61,-0.008834281
2012-02-02,11583.47,0.029294105,2478.15,0.002978804,96.36,-0.012806065
2012-02-03,11605.57,0.001907891,2515.15,0.014930493,97.84,0.01535907
2012-02-06,11564.86,-0.003507798,2507.89,-0.002886508,96.91,-0.009505315
2012-02-07,11499.77,-0.005628257,2514.12,0.00248416,98.41,0.015478279
2012-02-08,11705.86,0.017921228,2512.92,-0.000477304,98.71,0.003048471
2012-02-09,11669.15,-0.003136036,2522.34,0.003748627,99.84,0.011447675
2012-02-10,11405.22,-0.022617757,2480.76,-0.016484693,98.67,-0.01171875
2012-02-13,11467.66,0.005474686,2491.54,0.004345443,100.91,0.022701936
2012-02-14,11413.16,-0.004752495,2488.29,-0.001304414,100.74,-0.00168467
2012-02-15,11685.73,0.02388208,2493.96,0.002278673,101.8,0.010522136
2012-02-16,11577.36,-0.009273704,2489.35,-0.001848466,102.31,0.005009823
2012-02-17,11711.51,0.01158727,2520.31,0.012436982,103.24,0.009090021
2012-02-21,11689.69,0.001729293,2541.6,-0.003403548,105.84,0.025184037
2012-02-22,11823.6,0.011455394,2519,-0.008892037,106.28,0.004157218
2012-02-23,11714.29,-0.009245069,2508.08,-0.004335054,107.83,0.014584117
2012-02-24,11689.84,-0.002087194,2523.69,0.006223884,109.77,0.017991283
2012-02-27,11540.23,-0.012798293,2513.06,-0.004212086,108.56,-0.011023048
2012-02-28,11761.3,0.019156464,2519.72,0.002650156,106.55,-0.018515107
2012-02-29,11826.76,0.005565711,2512.11,-0.003020177,107.07,0.004880338
