Date,WTICL_sigma,HSCEI_sigma,STOXX50E_sigma,WTI-HSCEI,WTI-STOXX50E,HSCEI-STOXX50E
2011-10-12,0.020797276,0.013760896,0.011509792,3.40E-05,5.39E-05,5.15E-05
2011-10-13,0.020372813,0.01410276,0.010682772,3.27E-05,4.66E-05,5.38E-05
2011-10-14,0.020943432,0.015101719,0.012825096,2.50E-05,6.09E-05,5.36E-05
2011-10-17,0.020324493,0.015853982,0.011992992,1.45E-05,5.82E-05,4.86E-05
2011-10-18,0.020069377,0.01635341,0.013990831,1.29E-05,6.73E-05,4.89E-05
2011-10-19,0.019484405,0.019051395,0.013694903,-4.79E-06,6.19E-05,5.56E-05
2011-10-20,0.020852472,0.018650136,0.012780027,-8.44E-06,5.69E-05,5.22E-05
2011-10-21,0.020923371,0.019458185,0.01618615,-4.55E-06,7.45E-05,7.82E-05
2011-10-24,0.020307268,0.018655027,0.014883232,-2.86E-06,7.37E-05,6.84E-05
2011-10-25,0.019706082,0.020132404,0.013828251,3.03E-05,7.13E-05,7.42E-05
2011-10-26,0.019134658,0.01979197,0.014577662,3.25E-05,6.86E-05,7.45E-05
2011-10-27,0.021064038,0.019661733,0.014206067,2.63E-05,7.38E-05,7.10E-05
2011-10-28,0.020436766,0.020941688,0.01285018,5.29E-05,8.41E-05,9.21E-05
2011-10-31,0.020325986,0.020171514,0.012959692,5.02E-05,8.43E-05,8.89E-05
2011-11-01,0.019814246,0.019870222,0.017588882,4.81E-05,0.00010794,0.000119692
2011-11-02,0.020024228,0.020886906,0.02576409,5.46E-05,0.000161204,0.000200295
2011-11-03,0.019447769,0.020958329,0.023548285,5.39E-05,0.00014288,0.000185172
2011-11-04,0.018886894,0.020843286,0.021503185,4.83E-05,0.000129424,0.000162895
2011-11-07,0.018351097,0.021533264,0.02354293,4.86E-05,0.000135408,0.000167301
2011-11-08,0.017829969,0.02083876,0.02265414,4.45E-05,0.000124377,0.000155981
2011-11-09,0.017326967,0.019996135,0.020804282,4.18E-05,0.000111796,0.000137566
2011-11-10,0.017643872,0.01995651,0.022819887,3.89E-05,0.000126732,0.00014222
2011-11-11,0.017144477,0.022672369,0.021025733,2.30E-05,0.000112297,0.000140572
2011-11-14,0.016665544,0.022077371,0.019206046,2.38E-05,0.000102279,0.000127198
2011-11-15,0.016824071,0.02214778,0.020168903,2.11E-05,0.000109155,0.000127376
2011-11-16,0.016356097,0.021526159,0.02090881,1.88E-05,0.000106049,0.000129293
2011-11-17,0.015896985,0.022266787,0.019293861,6.00E-06,9.42E-05,0.000120248
2011-11-18,0.018396822,0.021795853,0.019528446,1.23E-05,0.000111668,0.00012023
2011-11-21,0.018932553,0.022376513,0.018492822,1.82E-05,0.000108423,0.00011684
2011-11-22,0.018741399,0.022712139,0.022733027,1.99E-05,0.000131197,0.000153767
2011-11-23,0.018207385,0.021679786,0.022540972,1.89E-05,0.000123747,0.000145203
